id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
12062,（小）唐揚げカレー（(Small size)Curry and rice topped with fried chicken）,374,581,15.3,14.8,93.2,4.1,1.0,0.2,5.9
15433,（大）唐揚とんこつラーメン（(Large size)Tonkotsu(pork bones soup) ramen topped with deep-fried chicken）,561,891,38.4,20.8,136.2,8.2,1.5,0.1,8.8
15432,唐揚とんこつラーメン（Tonkotsu(pork bones soup) ramen topped with deep-fried chicken）,495,701,30.6,20.2,97.8,7.9,1.5,0.1,6.7
15435,（大）北海道味噌ラーメン（バター風味）（(Large size)Hokkaido Miso butter ramen）,539,830,38.5,14.3,139.3,9.3,0.9,0.7,7.8
15434,北海道味噌ラーメン（バター風味）（Hokkaido Miso butter ramen）,473,640,30.8,13.7,100.9,9.0,0.9,0.7,5.7
15411,（大）味噌ラーメン（(Large size)Miso (soybean-paste based soup) ramen）,462,737,33.0,10.3,128.8,9.8,0.6,0.1,7.6
15410,味噌ラーメン（Miso (soybean-paste based soup) ramen）,396,547,25.3,9.7,90.4,9.5,0.6,0.1,5.4
15413,（大）醤油ラーメン（(Large size)Ramen in soy-sauce flavored soup）,462,694,28.8,10.6,120.9,7.8,0.6,0.1,7.1
15412,醤油ラーメン（Ramen in soy-sauce flavored soup）,396,504,21.1,10.0,82.5,7.4,0.6,0.1,5.0
15415,（大）濃厚にぼしラーメン（(Large size)Ramen in rich dried-sardine soup）,539,773,33.6,16.3,123.4,8.0,0.6,0.1,8.0
15414,濃厚にぼしラーメン（Ramen in rich dried-sardine soup）,473,583,25.9,15.7,85.0,7.7,0.6,0.1,5.8
15417,（大）辛味噌ラーメン（(Large size)Ramen in hot-miso based soup）,462,815,33.0,18.1,129.4,9.2,0.6,0.2,8.6
15416,辛味噌ラーメン（Ramen in hot-miso based soup）,396,625,25.3,17.5,91.0,8.9,0.6,0.2,6.5
15418,冷やしざるラーメン（Cold ramen）,451,492,19.2,7.7,87.3,5.0,0.6,0.0,5.5
15419,魚介濃厚まぜそば（Rich-flavored seafood dry noodles）,495,618,23.6,21.5,82.6,5.3,0.6,0.0,6.4
15398,（大）担々麺（(Large size)Dandan noodles （Hot））,539,900,32.4,27.1,131.3,6.8,0.6,0.1,9.5
15397,担々麺（Dandan noodles （Hot））,473,710,24.7,26.6,92.9,6.4,0.6,0.1,7.3
15389,上海風焼きそば（Shanghai-style fried noodles）,418,500,10.0,17.5,72.5,5.0,0.9,0.0,5.3
15390,ソース焼きそば（Fried noodles seasoned with Japanese Worcester sauce）,418,475,10.0,15.0,72.5,5.0,0.3,0.0,5.6
15391,辛旨汁なし担々麺（Szechuan-style hot dry noodles）,495,723,24.8,29.8,89.8,4.6,0.6,0.2,7.5
15403,たっぷり野菜の醤油和え麺（Lots-of-veggies noodles seasoned with soy sauce）,495,598,27.3,14.3,89.5,5.1,1.4,0.4,5.1
15394,照りマヨチキンの和え麺（Dry noodles with teriyaki chicken with mayonnaise）,495,595,29.1,14.1,87.7,5.1,1.4,0.1,5.3
15380,（大）冷やし担々麺（(Large size)Dandan noodles （cold））,539,862,29.8,24.4,133.6,5.6,0.6,0.2,9.7
15379,冷やし担々麺（Dandan noodles （cold））,473,671,23.2,23.4,94.4,5.3,0.6,0.2,7.3
17295,（大）豚汁そば（(Large size)Soba noodles with pork and vegetables (miso based soup)）,517,565,26.1,8.7,98.3,3.6,1.0,0.4,5.5
17294,豚汁そば（Soba noodles with pork and vegetables (miso based soup)）,451,429,20.8,8.0,70.2,3.6,1.0,0.4,3.8
17050,（大）かけそば（(Large size)Plain soba noodles）,319,443,17.4,2.1,91.9,4.5,0.0,0.0,5.3
17049,かけそば（Plain soba noodles）,253,307,12.1,1.4,63.8,4.5,0.0,0.0,3.6
17219,（大）釜玉そば（(Large size)Soba noodles with poached egg， green onion， nori and tenkasu）,418,643,25.5,17.6,98.4,2.6,1.0,0.1,6.7
17218,釜玉そば（Soba noodles with poached egg， green onion， nori and tenkasu）,352,507,20.2,16.9,70.3,2.6,1.0,0.1,5.0
17231,（大）かき揚げそば（(Large size)Soba noodles with mixed tempura）,418,596,20.2,8.5,112.7,5.8,0.0,0.3,6.9
17230,かき揚げそば（Soba noodles with mixed tempura）,352,460,14.9,7.8,84.6,5.8,0.0,0.3,5.2
17223,（大）ワカメそば（(Large size)Soba noodles with wakame seaweed）,418,492,20.0,5.1,99.3,7.6,0.0,0.1,5.6
17222,ワカメそば（Soba noodles with wakame seaweed）,352,356,14.7,4.4,71.2,7.6,0.0,0.1,4.0
17249,（大）きつねそば（(Large size)Soba noodles with deep-fried tofu）,418,604,25.4,10.5,105.9,5.9,1.5,0.0,5.7
17248,きつねそば（Soba noodles with deep-fried tofu）,352,468,20.1,9.8,77.8,5.9,1.5,0.0,4.1
17289,（大）ざるそば（(Large size)Zaru soba (cool soba noodles)）,418,585,23.5,2.9,120.7,3.4,0.0,0.1,7.1
17288,ざるそば（Zaru soba (cool soba noodles)）,352,449,18.2,2.2,92.6,3.4,0.0,0.1,5.4
17287,（大）濃厚カレーそば（(Large size)Soba noodles in rich curry soup）,484,630,21.1,14.1,110.5,6.2,0.0,0.3,7.2
17293,（大）豚汁うどん（(Large size)Udon noodles with pork and vegetables (miso based soup)）,517,626,19.9,7.7,118.7,5.5,1.0,0.4,5.5
17292,豚汁うどん（Udon noodles with pork and vegetables (miso based soup)）,451,470,16.7,7.3,83.8,4.9,1.0,0.4,3.8
17285,（大）濃厚カレーうどん（(Large size)Udon noodles in rich curry soup）,484,691,15.0,13.1,130.9,8.1,0.0,0.3,7.2
17284,濃厚カレーうどん（Udon noodles in rich curry soup）,418,535,11.7,12.8,96.0,7.5,0.0,0.3,5.6
17273,焼きうどん（Stir-fried udon noodles）,418,425,7.5,11.0,72.5,7.5,0.3,0.0,4.7
17233,（大）かけうどん（(Large size)Plain udon noodles）,319,493,10.6,1.1,110.0,5.3,0.1,0.0,5.2
17232,かけうどん（Plain udon noodles）,253,337,7.3,0.8,75.1,4.7,0.1,0.0,3.6
17217,（大）釜玉うどん（(Large size)Udon noodles with poached egg， green onion， nori and tenkasu）,418,704,19.3,16.6,118.8,4.5,1.0,0.1,6.6
17216,釜玉うどん（Udon noodles with poached egg， green onion， nori and tenkasu）,352,548,16.1,16.3,83.9,3.9,1.0,0.1,5.0
17229,（大）かき揚げうどん（(Large size)Udon noodles with mixed tempura）,418,646,13.3,7.6,130.8,6.6,0.1,0.3,6.8
17228,かき揚げうどん（Udon noodles with mixed tempura）,352,489,10.1,7.2,95.9,6.0,0.1,0.3,5.2
17237,（大）ワカメうどん（(Large size)Udon noodles with wakame seaweed）,418,542,13.1,4.1,117.4,8.3,0.1,0.1,5.6
